ticker,company_name,max_down_streak,avg_down_streak,total_down_streaks,entropy
PPG,"PPG Industries, Inc.",8,5.857142857142857,7,1.6644977792004614
V,Visa Inc.,11,6.285714285714286,7,1.6644977792004614
FSLR,"First Solar, Inc.",8,5.846153846153846,13,1.6691803368667308
INCY,Incyte Corporation,8,5.769230769230769,13,1.6691803368667308
KMI,"Kinder Morgan, Inc.",8,5.846153846153846,13,1.6691803368667308
WM,"Waste Management, Inc.",10,6.076923076923077,13,1.6691803368667308
VTRS,Viatris Inc.,8,5.8,15,1.672905595320056
AMGN,Amgen Inc.,8,5.818181818181818,11,1.6767370300521327
FOXA,Fox Corporation,8,5.818181818181818,11,1.6767370300521327
LYV,"Live Nation Entertainment, Inc.",8,6.090909090909091,11,1.6767370300521327
NEM,Newmont Corporation,8,5.818181818181818,11,1.6767370300521327
PNC,"The PNC Financial Services Group, Inc.",10,6.181818181818182,11,1.6767370300521327
A,"Agilent Technologies, Inc.",8,6.0,10,1.6854752972273344
CINF,Cincinnati Financial Corporation,9,6.0,10,1.6854752972273344
IP,International Paper Company,9,6.1,10,1.6854752972273344
ALLE,Allegion plc,9,6.181818181818182,11,1.6858157091530304
CPRT,"Copart, Inc.",8,5.909090909090909,11,1.6858157091530304
DHR,Danaher Corporation,8,5.909090909090909,11,1.6858157091530304
EXC,Exelon Corporation,9,6.181818181818182,11,1.6858157091530304
SBAC,SBA Communications Corporation,8,6.0,11,1.6858157091530304
PKG,Packaging Corporation of America,8,5.785714285714286,14,1.6893917467430877
CCI,Crown Castle Inc.,9,5.947368421052632,19,1.7002237262558648
GPN,Global Payments Inc.,9,5.846153846153846,13,1.7004397181410922
HSIC,"Henry Schein, Inc.",8,5.875,16,1.7028195311147831
PG,The Procter & Gamble Company,10,6.3,10,1.721928094887362
DGX,Quest Diagnostics Incorporated,8,5.857142857142857,14,1.7244078178625921
ZBRA,Zebra Technologies Corporation,8,5.857142857142857,14,1.7273966735744792
EQT,EQT Corporation,8,5.916666666666667,12,1.7295739585136223
IPG,"The Interpublic Group of Companies, Inc.",8,5.916666666666667,12,1.7295739585136223
DD,"DuPont de Nemours, Inc.",8,5.833333333333333,12,1.7295739585136227
EOG,"EOG Resources, Inc.",8,5.916666666666667,12,1.7295739585136227
HOLX,"Hologic, Inc.",8,5.916666666666667,12,1.7295739585136227
TTWO,"Take-Two Interactive Software, Inc.",8,5.833333333333333,12,1.7295739585136227
ARE,"Alexandria Real Estate Equities, Inc.",9,6.0,17,1.7322216637616483
TMO,Thermo Fisher Scientific Inc.,9,5.882352941176471,17,1.7360411676599226
MS,Morgan Stanley,9,5.933333333333334,15,1.7464657985040721
ELV,"Elevance Health, Inc.",8,5.875,8,1.75
KLAC,KLA Corporation,8,6.0,8,1.75
LEN,Lennar Corporation,10,6.5,8,1.75
NVR,"NVR, Inc.",8,6.125,8,1.75
PANW,"Palo Alto Networks, Inc.",11,6.25,8,1.75
BKR,Baker Hughes Company,9,6.222222222222222,9,1.7527152789797051
DRI,"Darden Restaurants, Inc.",11,6.333333333333333,9,1.7527152789797051
HRL,Hormel Foods Corporation,11,6.333333333333333,9,1.7527152789797051
UNP,Union Pacific Corporation,9,5.857142857142857,14,1.753434386188785
CARR,Carrier Global Corporation,8,5.9,10,1.7609640474436814
MKC,"McCormick & Company, Incorporated",8,6.1,10,1.7609640474436814
CL,Colgate-Palmolive Company,10,6.2,10,1.7709505944546686
COF,Capital One Financial Corporation,8,5.9375,16,1.7806390622295665
FE,FirstEnergy Corp.,9,5.916666666666667,12,1.780672129520887
PEP,"PepsiCo, Inc.",10,6.166666666666667,12,1.7806721295208876
APD,"Air Products and Chemicals, Inc.",8,5.916666666666667,12,1.7841591278514217
BA,The Boeing Company,11,6.583333333333333,12,1.7841591278514217
PFG,"Principal Financial Group, Inc.",8,5.916666666666667,12,1.7841591278514217
PYPL,"PayPal Holdings, Inc.",8,5.916666666666667,12,1.7841591278514217
WEC,"WEC Energy Group, Inc.",8,5.928571428571429,14,1.7884504573082896
JBHT,"J.B. Hunt Transport Services, Inc.",8,6.090909090909091,11,1.789929075309999
LDOS,"Leidos Holdings, Inc.",8,6.0,11,1.789929075309999
SO,The Southern Company,8,6.0,12,1.7924812503605783
WDC,Western Digital Corporation,9,6.166666666666667,6,1.7924812503605783
ALB,Albemarle Corporation,10,6.125,16,1.7947367178034828
HPE,Hewlett Packard Enterprise Company,9,6.071428571428571,14,1.8092000326978117
CPB,The Campbell's Company,9,6.125,8,1.811278124459133
